Page,EnglishCommon,LatinSpecies,Length,Voice,Comment
105,Magpie,Pica pica,44-46,loud rattling sound,
106,Carrion Crow,Corvus corone,45-47,"deep, cawing ""kraaa kraaa""",
106,Rook,Corvus frugilegus,44-46,grating croaks,
107,Jackdaw,Corvus monedula,33-34,"sharp ""jack jack"" and higher-pitched ""kyow""",
107,Raven,Corvus corax,64,"deep, ""kronk kronk"" croak",
108,Starling,Sturnus vulgaris,21.5,"complicated song with rattles and whistles, copies other birds' calls",not described as mimic because kids book
109,House Sparrow,Passer domesticus,14-15,chirps and chirrups,
110,Chaffinch,Fringilla coelebs,14.5,"loud ""chink-chink"" call and rattling song",
111,Greenfinch,Carduelis chloris,15,"loud twittering trill followed by long ""dzeeeeeee""",
114,Goldfinch,Carduelis carduelis,12,"simple ""twit-a-twit"" flight call, long, twittering song",
115,Siskin,Carduelis spinus,12,"""tzeeuu"" or ""tzuee"" call, twittering song",
