Page,Section,Family,EnglishCommon,LatinSpecies,Length,Voice,,
44,Ducks,Anatidae,Smew,Mergellus albellus,41cm,NA,,
46,Ducks,Anatidae,Hooded Merganser,Lophodytes cucullatus,46cm,"Generally silent, except in display, when drake gives a rolling froglike note; female gives a single harsh note.",,
46,Ducks,Anatidae,Common Merganser,Mergus merganser,64cm,"Generally silent, except in display, when drake gives single, bell-like calls. Both sexes give single harsh calls.",,
46,Ducks,Anatidae,Red-breasted Merganser,Mergus serrator,58cm,"Generally silent, except in display, when drake gives various notes, including mewing calls; female gives various harsh calls.",,
48,Ducks,Anatidae,Ruddy Duck,Oxyura jamaicensis,38cm,"Mostly silent. During display, male produces soft ticking and popping sounds.",,
48,Ducks,Anatidae,Masked Duck,Nomonyx dominicus,34cm,NA,,
48,Ducks,Anatidae,Swan Goose,Anser cygnoides,114cm,NA,,
48,Ducks,Anatidae,Common Shelduck,Tadorna tadorna,64cm,NA,,
48,Ducks,Anatidae,Ruddy Shelduck,Tadorna ferruginea,66cm,NA,,
48,Ducks,Anatidae,Bar-headed Goose,Anser indicus,76cm,NA,,
48,Ducks,Anatidae,Mandarin Duck,Aix galericulata,41cm,NA,,
54,New World Quail,Odontophoridae,Northern Bobwhite,Colinus virgianus,25cm,"Male's song is a rising, whistled *bob-white*, heard chiefly in spring and summer and delivered from a low perch; whistled ""hoy"" call is heard year-round. Also gives soft clucking notes.",,
54,New World Quail,Odontophoridae,Montezuma Quail,Cyrtonyx montezumae,22cm,"Call given by male in breeding season is a loud, quavering, descending whistle. Female gives multisyllabic whistles on one pitch.",,
54,New World Quail,Odontophoridae,Mountain Quail,Oreortyx pictus,28cm,"Male's mating call is a loud, clear, descending ""quee-ark"", at a distance ""twoook""; both sexes give whistled notes in rapid series.",,
54,New World Quail,Odontophoridae,Gambel's Quail,Callipepla gambelii,25cm,"Territorial breeding-season call of male is a prolonged note that rises and descend. Calls include varied grunts and cackles, most differing from California; loud, querulous ""chi-ca-go-go"" call is similar to California but is higher pitched and more hesitant and usually has four notes.",,
54,New World Quail,Odontophoridae,California Quail,Callipepla californica,25cm,"Territorial breeding-season call of male is a single ""cah"" note, shorter and less descending than Gambel's territorial call. Calls include varied grunts and cackles, including a characteristic and sharp series of ""pit"" notes; loud, emphatic locatin note, ""chi-ca-go"" call is similar to Gambel's but is lower pitched and less hesitant and usually has three notes rather than four.",,
54,New World Quail,Odontophoridae,Scaled Quail,Callipepla squamata,25cm,"During breeding season, male utters a loud, single harsh note, ""squeach"". Both sexes give a location call when separated, a low, nasal ""chip-churr"", accented on the second syllable.",,
58,Chacalaca,Cracidae,Plain Chachalaca,Ortalis vetula,56cm,"Male's call is a deep, ringing ""cha-cha-lac"", often given in a loud chorus with other birds; female's voice is higher pitched. Most vocal during breeding season.",,
58,Partridges,Phasianidae,Chukar,Alectoris chukar,36cm,"Calls include a series of loud, rapid ""chuck chuck chuck"" notes and a shrill ""whitoo"" alarm note.",,
58,Partridges,Phasianidae,Gray Partridge,Perdix perdix,32cm,"Calls include a hoarse ""kee-uck"", likened to a rusty gate.",,
60,Partridges,Phasianidae,Ring-necked Pheasant,Phasianus colchicus,male: 84cm; female: 53cm,"Male's territorial call is a loud, penetrating ""kok-cack"". Both sexes give hoarse, croaking alarm notes. When flushed, rises almost vertically with a loud whirring of wings.",,
60,Partridges,Phasianidae,Himalayan Snowcock,Teraogallus himalayensis,71cm,"Calls include various clucks and cackles while feeding. One advertising call suggestive of Long-billed Curlew, male's call rises, female's descends.",,
60,Partridges,Phasianidae,Wild Turkey,Meleagris gallopavo,male: 117cm; female: 94cm,In spring a male's gobbling call may be heard a mile away.,,
62,Partridges,Phasianidae,Ruffed Grouse,Bonasa umbellus,43cm,"In spring, male displays by raising ruff and crest, fanning tail, and beating wings to make a hollow, accelerating, drumming noise. Both sexes give soft clucking notes. Often displays from a fallen log.",,
62,Partridges,Phasianidae,Spruce Grouse,Falcipenis canadensis,41cm,"Both sexes give soft clucking notes. In courtship display, male spreads tail, erects red eye combs, rapidly beats wings. In territorial flight display, male flutters upward on shallow wingstrokes; Franklin's ends this performance by beating wings together, making a clapping sound. Female's high-pitched call is thought to be territorial.",,
62,Partridges,Phasianidae,Dusky Grouse,Dendragapus obscurus,51cm,"Male's display call, usually given from ground, softer and lower pitched than Sooty and audible only at close range.",,
62,Partridges,Phasianidae,Sooty Grouse,Dendragapus fuliginosus,51cm,"Male's display call is a seris of loud low hoots audible at considerable distance, usually given from perch in tree. More southerly ssp. mostly conceal air sacs when hooting (more research needed).",,
64,Partridges,Phasianidae,White-tailed Ptarmigan,Lagopus leucura,32cm,"Calls include a henlike clucking and soft, low hoots.",,
64,Partridges,Phasianidae,Willow Ptarmigan,Lagopus lagopus,38cm,"Calls include low growls and croaks, noisy cackles. In courtship and territorial displays,male utters a raucous *go-back go-back go-backa go-backa go-backa*.",,
64,Partridges,Phasianidae,Rock Ptarmigan,Lagopus muta,36cm,Calls include low growls and croaks and noisy cackles.,,
66,Partridges,Phasianidae,Greater Prairie-Chicken,Tympanuchus cupido,43cm,"Courting males make a deep ""oo-loo-woo"" sound known as 'booming', like blowing over top of an empty bottle.",,
66,Partridges,Phasianidae,Lesser Prairie-Chicken,Tympanuchus pallidicinctus,41cm,Male's courtship notes are higher pitched than Greater.,,
66,Partridges,Phasianidae,Sharp-tailed Grouse,Tympanuchus phasianellus,43cm,"Male's courting notes include cackling and a single, low ""coo-oo"" call accompanied by the rattling of wing quills.",,
66,Partridges,Phasianidae,Gunnison Sage-Grouse,Centrocercus minimus,male: 56cm; female: 46cm,"Male's display call lower pitched, more uniform than Greater.",,
66,Partridges,Phasianidae,Greater Sage-Grouse,Centrocercus urophasianus,male: 71cm; female: 56cm,"In display, male rapidly inflates and deflates air sacs, emitting a loud, bubbling popping.",,
68,Grebes,Podicipedidae,Least Grebe,Tachybaptus dominicus,25cm,"Gives nasal ""beep""; in display, a rapid, buzzy trill.",,
68,Grebes,Podicipedidae,Pied-billed Grebe,Podilymbus podiceps,34cm,"On breeding grounds, delivers a loud series of gulping notes. Also gives an electric ""huzza-huzza-huzza-huzza"".",,
68,Grebes,Podicipedidae,Horned Grebe,Podiceps auritus,34cm,"Mostly silent, except on nesting grounds.",,
68,Grebes,Podicipedidae,Eared Grebe,Podiceps nigricollis,32cm,"Most vocal on breeding grounds; most frequent call is a rising whistled note. Old World birds give very different vocalizations, likely a separate species (Black-necked Grebe).",,
70,Grebes,Podicipedidae,Red-necked Grebe,Podiceps grisegena,51cm,"Calls, usually heard only on breeding grounds, include a ""crick-crick"" note and drawn-out braying calls.",,
70,Grebes,Podicipedidae,Western Grebe,Aechmophorus occidentalis,4cm,"Call is a loud, two-note ""crick-kreek"".",,
70,Grebes,Podicipedidae,Clark's Grebe,Aechmophorus clarkii,64cm,"Call is a single, drawn-out ""kreeeek"" note.",,
70,Flamingos,Phoenicopteridae,American Flamingo,Phoenicopterus ruber,117cm (length); 152cm (wingspan),Mostly silent; occasional honking notes.,,
72,Pigeons/Doves,Columbidae,Band-tailed Pigeon,Patagioenas fasciata,37cm,"Song is a deep, owl-like ""whoo-whooo""; grating call given in display flight.",,
72,Pigeons/Doves,Columbidae,Rock Pigeon,Columba livia,32cm,"Song is a soft ""coo-cuk-cuk-cuk-coooo"".",,
72,Pigeons/Doves,Columbidae,White-crowned Pigeon,Patagioenas leucocephala,34cm,"Songs include a loud, deep ""coo-cura-cooo"" or ""coo-croo"".",,
72,Pigeons/Doves,Columbidae,Red-billed Pigeon,Patagioeas flavirostris,37cm,"Distinctive song heard in early spring and summer, a long, high-pitched ""cooooo"" followed by four loud ""up-cup-a-coo"" notes.",,
74,Pigeons/Doves,Columbidae,Oriental Turtle-Dove,Streptopelia orientalis,34cm,NA,,
74,Pigeons/Doves,Columbidae,Eurasian Collared-Dove,Streptopelia decaocto,32cm,"Three-syllable song, ""coo-coo-cup"", is given year-round; also a loud, downslurred mewing call in display flight; most similar Ringed Turtle-Doves give a two-syllable call, the second rough and drawn-out.",,
74,Pigeons/Doves,Columbidae,Spotted Dove,Streptopelia chinensis,30cm,"Song is a rather harsh ""coo-coo-croooo"" and ""co-crrooo-coo"", with emphasis respectively on the last and middle notes.",,
74,Pigeons/Doves,Columbidae,Inca Dove,Columbina inca,21cm,"Song is a double ""cooo-coo"", often phrased as ""no-hope"". In flight, wings make a rattling sound.",,
76,Pigeons/Doves,Columbidae,Common Ground-Dove,Columbina passerina,17cm,"Song is a repeated soft, ascending ""wah-up"".",,
76,Pigeons/Doves,Columbidae,Ruddy Ground-Dove,Columbina talpacoti,17cm,Song like Common but faster and a little lower in pitch.,,
76,Pigeons/Doves,Columbidae,Ruddy Quail-Dove,Geotrygon montana,25cm,"N.A. strays have been silent. Song from a perch a series of very deep, resonant, monosyllabic ""coo"" notes, repeated every three to four seconds and slightly trailing off at end.",,
76,Pigeons/Doves,Columbidae,Key West Quail-Dove,Geotrygon chrysia,30cm,"Song is a long, cooing note given from a perch in a tree. Recent N.A. birds have not been heard vocalizing.",,
78,Pigeons/Doves,Columbidae,White-tipped Dove,Leptotila verreauxi,29cm,Low-pitched song is like the sound produced by blowing across the top of a bottle. Wings give a high twittering sound in flight.,,
78,Pigeons/Doves,Columbidae,White-winged Dove,Zenaida asiatica,29cm,"Song, a drawn-out, cooing *who-cooks-for-you*, has many variations and is heard during the breeding season.",,
78,Pigeons/Doves,Columbidae,Zenaida Dove,Zenaida aurita,25cm,Song is similar to Mourning Dove but faster.,,
78,Pigeons/Doves,Columbidae,Mourning Dove,Zanaida macroura,30cm,"Song is a mournful ""oowoo-woo-woo-woo"". Wings produce a fluttering whistle as the bird takes flight.",,
80,Cuckoos/Roadrunners,Cuculidae,Mangrove Cuckoo,Coccyzus minor,30cm,"Call is a slow, guttural ""gaw gaw gaw"".",,
80,Cuckoos/Roadrunners,Cuculidae,Yellow-billed Cuckoo,Coccyzus americanus,30cm,"One song sounds hollow and wodden, a rapid staccato ""kuk-kuk-kuk"" that usually slows and descends to a ""kakakowlp-kowlp"" ending. Also a series of ""coo"" notes and a slowly repeated single ""keep"".",,
80,Cuckoos/Roadrunners,Cuculidae,Black-billed Cuckoo,Coccyzus eryhropthalmus,30cm,"Song usually consists of monotonous ""cu-cu-cu"" or ""cu-cu-cu-cu"" phrases.",,
80,Cuckoos/Roadrunners,Cuculidae,Greater Roadrunner,Geococcyx californianus,58cm,"Song is a dovelike series of notes, descending in pitch.",,
82,Cuckoos/Roadrunners,Cuculidae,Common Cuckoo,Cuculus canorus,33cm,"Male's song is the familiar ""cuc-coo"" for which the family is named but is rarely heard in N.A.",,
82,Cuckoos/Roadrunners,Cuculidae,Oriental Cuckoo,Cuculus optatus,32cm,"Song a variable, hollow note often delivered by series of hoots, then series of paired notes (""hoo-hoo""); has not been heard in N.A.",,
82,Cuckoos/Roadrunners,Cuculidae,Groove-billed Ani,Crotophaga sulcirostris,34cm,"Call is a liquid ""tee-ho"", accented on the first syllable.",,
82,Cuckoos/Roadrunners,Cuculidae,Smooth-billed Ani,Crotophaga ani,37cm,"Call is a whining, rising ""quee-lick"".",,
84,Goatsuckers,Caprimulgidae,Lesser Nighthawk,Chordeiles acutipennis,22cm,"Call a rapid, tremulous trill, heard only on breeding grounds.",,
84,Goatsuckers,Caprimulgidae,Common Nighthawk,Chordeiles minor,24cm,"In courtship display, mae's wings make a hollow booming sound. Nasal ""peent"" call, given even in migration, is diagnostic.",,
84,Goatsuckers,Caprimulgidae,Antillean Nighthawk,Chordeiles gundlachii,20cm,"Call is a varying ""pity-pit-pit"".",,
84,Goatsuckers,Caprimulgidae,Common Pauraque,Nyctidromus albicollis,28cm,"Distinctive song is one or more low ""pur"" notes followed by a higher, descending ""wheeer"".",,
86,Goatsuckers,Caprimulgidae,Chuck-will's window,Antrostomus carolinensis,30cm,"Loud, whistling song sounds like *chuck-will's-widow*.",,
86,Goatsuckers,Caprimulgidae,Eastern Whip-poor-will,Antrostomus vociferus,25cm,"A clear, loud *whip-poor-will*. Also ""cluck"" notes, especially in flight.",,
86,Goatsuckers,Caprimulgidae,Mexican Whip-poor-will,Antrostomus arizonae,25cm,"Like Eastern, but *whip-poor-will* song much burrier; also gives ""cluck"" notes in flight.",,
86,Goatsuckers,Caprimulgidae,Buff-collared Nightjar,Antrostomus ridgwayi,22cm,"Song, an accelerating series of ""cuk"" notes ending with ""cukacheea"".",,
86,Goatsuckers,Caprimulgidae,Common Poorwill,Phalaenoptilus nuttallii,20cm,"Song is a whistled *poor-will*, with a final ""ip"" note audible at close range.",,
88,Swifts,Apodidae,Black Swift,Cypseloides niger,18cm,"Series of ""chick"" calls, delivered more slowly than Chimney.",,
88,Swifts,Apodidae,White-throated Swift,Aeronautes saxatalis,17cm,"Call is a loud, descending harsh chatter.",,
