Page,Section,Family,EnglishCommon,LatinSpecies,Length,Voice,,
118,Plovers,Charadriidae,Wilson's Plover,Charadrius wilsonia,20cm,"Call is a sharp, whistled ""whit"".",,
120,Plovers,Charadriidae,Common Ringed Plover,Charadrius hiaticula,19cm,"Call is a soft, fluted ""pooee""; song, delivered in display flight, is a series of these notes.",,
120,Plovers,Charadriidae,Semipalmated Plover,Charadrius semipalmatus,18cm,"Distinctive call is a whistled, upslurred ""chu-weet""; song is a series of same.",,
120,Plovers,Charadriidae,Piping Plover,Charadrius melodus,18cm,"Distinctive call is a clear ""peep-loo"".",,
120,Plovers,Charadriidae,Snowy Plover,Charadrius nivosus,16cm,"Calls include a low ""krut"" and a soft, whistled ""ku-wheet"".",,
122,Plovers,Charadriidae,Mountain Plover,Charadrius montanus,23cm,"Calls heard on breeding grounds include low, drawn-out whistles and harsh notes. In migration and winter, gives a harsh ""krrr"" note.",,
122,Plovers,Charadriidae,Eurasian Dotterel,Charadrius morinellus,21cm,"Usually silent, but flight call is a soft, rolling, descending note.",,
122,Plovers,Charadriidae,Northern Lapwing,Vanellus vanellus,32cm,"Flight call is a whistled ""pee-wit"".",,
122,Jacanas,Jacanidae,Northern Jacana,Jacana spinosa,24cm,"Call is a series of harsh staccato notes, usually given in flight.",,
124,Sandpipers,Scolopacidae,Upland Sandpiper,Bartramia longicauda,30cm,"Calls include a rolling ""pulip pulip""; also a call like a wolf whistle, given in display flight on breeding grounds.",,
124,Sandpipers,Scolopacidae,Little Curlew,Numenius minutus,30cm,"Calls include a musical ""quee-dlee"" and a loud ""tchew-tchew-tchew"".",,
124,Sandpipers,Scolopacidae,Whimbrel,Numenius phaeopus,44cm,Call is a series of hollow whistles on one pitch.,,
126,Sandpipers,Scolopacidae,Bristle-thighed Curlew,Numenius tahitiensis,46cm,"Main call is a loud whistled ""chu-a-whit"", and all other vocalizations are completely different from Whimbrel.",,
126,Sandpipers,Scolopacidae,Long-billed Curlew,Numenius americanus,58cm,"Call is a loud musical, ascending ""cur-lee"".",,
126,Sandpipers,Scolopacidae,Eurasian Curlew,Numenius arquata,56cm,NA,,
126,Sandpipers,Scolopacidae,Far Eastern Curlew,Numenius madagascariensis,64cm,NA,,
128,Sandpipers,Scolopacidae,Black-tailed Godwit,Limosa limosa,42cm,"Flight call is a rather nasal, mewing, quick ""vi-vi-vi"".",,
128,Sandpipers,Scolopacidae,Hudsonian Godwit,Limosa haemastica,39cm,"Generally silent away from breeding grounds; call is a rather high-pitched and rising ""pid-wid"".",,
128,Sandpipers,Scolopacidae,Bar-tailed Godwit,Limosa Iapponica,41cm,"Largely silent, except on breeding grounds; calls like Hudsonian, but lower in pitch.",,
128,Sandpipers,Scolopacidae,Marbled Godwit,Limosa fedoa,46cm,"Flight call is a slightly nasal ""kah-wek""; also a repeated ""ga-wi-da"".",,
130,Sandpipers,Scolopacidae,Ruddy Turnstone,Arenaria interpres,24cm,"Distinctive call is a low-pitched, guttural rattle.",,
130,Sandpipers,Scolopacidae,Black Turnstone,Arenaria melanocephala,23cm,"Calls include a guttural rattle, higher than Ruddy Turnstone.",,
130,Sandpipers,Scolopacidae,Rock Sandpiper,Calidris ptilocnemis,23cm,"Gives a sharp ""kwit"" and a chattering call.",,
130,Sandpipers,Scolopacidae,Purple Sandpiper,Calidris maritima,23cm,"Call is a scratchy ""keesh""; also a chatter.",,
132,Sandpipers,Scolopacidae,Surfbird,Calidris virgata,25cm,"Usually silent away from breeding grounds, apart from soft contact notes; occasionally gives a shrill, whistled ""kee-wee-ah"".",,
132,Sandpipers,Scolopacidae,Great Knot,Calidris tenuirostris,28cm,NA,,
132,Sandpipers,Scolopacidae,Red Knot,Calidris canutus,27cm,"Mostly silent; sometimes gives a soft ""ka-whit"" in flight.",,
132,Sandpipers,Scolopacidae,Sanderling,Calidris alba,20cm,"Call is a ""kip"", often in a series.",,
134,Sandpipers,Scolopacidae,Semipalmated Sandpiper,Calidris pusilla,16cm,"Call is a short ""churk"".",,
134,Sandpipers,Scolopacidae,Western Sandpiper,Calidris mauri,17cm,"Call is a raspy ""jeet"".",,
134,Sandpipers,Scolopacidae,Least Sandpiper,Calidris minutilla,15cm,"Call is a high plaintive ""kreee"".",,
136,Sandpipers,Scolopacidae,Red-necked Stint,Calidris ruficollis,16cm,NA,,
136,Sandpipers,Scolopacidae,Little Stint,Calidris minuta,15cm,NA,,
136,Sandpipers,Scolopacidae,Long-toed Stint,Calidris subminuta,15cm,Gives a lower-pitched call than Least Sandpiper.,,
136,Sandpipers,Scolopacidae,Temminck's Stint,Calidris temminckii,16cm,"Call is a very distinctive, repeated, rapid dry rattle.",,
138,Sandpipers,Scolopacidae,White-rumped Sandpiper,Calidris fuscicollis,19cm,"Call note is a very high-pitched insectlike ""jeet"".",,
138,Sandpipers,Scolopacidae,Baird's Sandpiper,Calidris bairdii,19cm,"Call is a low raspy ""kreep"", similar to call of Pectoral, but less rich.",,
138,Sandpipers,Scolopacidae,Spoon-billed Sandpiper,Calidris pygmea,16cm,NA,,
138,Sandpipers,Scolopacidae,Broad-billed Sandpiper,Calidris falcinellus,18cm,Call is a dry and high-pitched buzzy trill; also shorter calls.,,
140,Sandpipers,Scolopacidae,Dunlin,Calidris alpina,22cm,"Call is a harsh, reedy ""kree"".",,
140,Sandpipers,Scolopacidae,Curlew Sandpiper,Calidris ferruginea,22cm,"Call is a soft, rippling ""chirrup"".",,
140,Sandpipers,Scolopacidae,Stilt Sandpiper,Calidris himantopus,22cm,"Call is a low, hoarse ""querp"".",,
142,Sandpipers,Scolopacidae,Pectoral Sandpiper,Calidris melanotos,22cm,"Call is a rich, low ""churk"".",,
142,Sandpipers,Scolopacidae,Sharp-tailed Sandpiper,Calidris acuminata,22cm,"Call is a mellow, two-note whistle.",,
142,Sandpipers,Scolopacidae,Buff-breasted Sandpiper,Calidris subruficollis,21cm,"A high, harsh, ""squelch"" note, but migrants usually silent.",,
142,Sandpipers,Scolopacidae,Ruff,Calidris pugnax,male: 30cm; female: 25cm,"A high, somewhat harsh note, but mostly silent in migration.",,
144,Sandpipers,Scolopacidae,Short-billed Dowitcher,Limnodromus griseus,28cm,"Call is a mellow ""tu tu tu"", repeated in a rapid series in alarm call.",,
144,Sandpipers,Scolopacidae,Long-billed Dowitcher,Limnodromus scolopaceus,29cm,"Call is a sharp, high-pitched ""keek"", given singly or in a rapid series.",,
146,Sandpipers,Scolopacidae,Jack Snipe,Lymnocryptes minimus,18cm,NA,,
146,Sandpipers,Scolopacidae,Wilson's Snipe,Gallinago delicata,26cm,"Often not seen until flushed, as it gives a harsh two-syllable ""ski-ape"" call in rapid, twisting flight. Where breeding, males deliver loud ""wheet"" notes from conspicuous perches. In swooping display flight, vibrating outer tail feathers make quavering hoots, like song of Boreal Owl.",,
146,Sandpipers,Scolopacidae,Common Snipe,Gallinago gallinago,27cm,"Flight-display notes of the male are lower pitched than Wilson's; harsh ""ski-ape"" flight call like Wilson's.",,
146,Sandpipers,Scolopacidae,Pin-tailed Snipe,Gallinago stenura,25cm,"Call is high, ducklike ""squak"".",,
146,Sandpipers,Scolopacidae,American Woodcock,Scolopax minor,28cm,"Call, heard mainly in spring, is a nasal ""peent"". During display also gives chirping sounds.",,
148,Sandpipers,Scolopacidae,Terek Sandpiper,Xenus cinereus,23cm,"Flight call is a series of shrill whistled notes on one pitch, usually in threes.",,
148,Sandpipers,Scolopacidae,Spotted Sandpiper,Actitis macularius,19cm,"Calls include a shrill ""peet-weet"" and, in flight, a series of ""weet"" notes, lower pitched than Solitary Sandpiper.",,
148,Sandpipers,Scolopacidae,Common Sandpiper,Actitis hypoleucos,20cm,"Call a shrill, piping ""twee-wee-wee"".",,
148,Sandpipers,Scolopacidae,Wood Sandpiper,Tringa glareola,20cm,"Common call a loud, sharp whistling of multiple notes, resembling calls of Long-billed Dowitcher. Russian name Fifi is onomatopoetic.",,
150,Sandpipers,Scolopacidae,Solitary Sandpiper,Tringa solitaria,22cm,"Calls include a shrill ""peet-weet"", higher pitched than calls of Spotted Sandpiper.",,
150,Sandpipers,Scolopacidae,Green Sandpiper,Tringa ochropus,22cm,"Call is like Solitary, but louder.",,
150,Sandpipers,Scolopacidae,Wandering Tattler,Tringa incana,28cm,"Call is a rapid series of clear, hollow whistles, all on one pitch.",,
150,Sandpipers,Scolopacidae,Gray-tailed Tattler,Tringa brevipes,25cm,"Best distinction is voice. Common call is a loud, ascending ""too-weet"", similar to Common Ringed Plover.",,
152,Sandpipers,Scolopacidae,Willet,Tringa semipalmata,38cm,"Territorial call is ""pill-will-willet"", distinctly faster and higher pitched in nominate ssp. Other raucous calls are given year-ound, all averaging higher pitcher in the nominate ssp.",,
152,Sandpipers,Scolopacidae,Greater Yellowlegs,Tringa melanoleuca,36cm,"Call a loud, slightly descending series of three or more ""tew"" notes.",,
152,Sandpipers,Scolopacidae,Lesser Yellowlegs,Tringa flavipes,27cm,"Call is one or more ""tew"" notes, a little higher than Greater, the individual notes being more clipped and all on one pitch.",,
154,Sandpipers,Scolopacidae,Common Greenshank,Tringa nebularia,34cm,"Typical flight call is a loud ""tew-tew-tew"", very much like Greater Yellowlegs, but the notes are all on one pitch.",,
154,Sandpipers,Scolopacidae,Marsh Sandpiper,Tringa stagnatilis,22cm,"Call is a ""tew"" note, like call of Lesser; often delivered in a series.",,
154,Sandpipers,Scolopacidae,Common Redshank,Tringa totanus,28cm,"Calls include a musical ""tew"" or more mournful ""tew-hieu"". Alarm note is a series of ""twek"" notes.",,
154,Sandpipers,Scolopacidae,Spotted Redshank,Tringa erythropus,32cm,"Distinctive call, a loud rising ""chu-weet"", closely resembles the call of Semipalmated Plover and completely unlike any other Tringa.",,
156,Sandpipers,Scolopacidae,Wilson's Phalarope,Phalaropus tricolor,23cm,"Calls include a hoarse ""wurk"" and other low, croaking notes.",,
156,Sandpipers,Scolopacidae,Red-necked Phalarope,Phalaropus lobatus,20cm,"Call, a high, sharp ""kit"", is often given in a series.",,
156,Sandpipers,Scolopacidae,Red Phalarope,Phalaropus fulicarius,22cm,"Call is a sharp ""keip"", higher pitched than Red-necked.",,
162,Skuas,Stercorariidae,Great Skua,Stercorarius skua,"56cm (length), 137cm (wingspan)",NA,,
162,Skuas,Stercorariidae,South Polar Skua,Stercorarius maccormicki,"53cm (length), 132cm (wingspan)",NA,,
162,Jaegers,Stercorariidae,Pomarine Jaeger,Stercorarius pomarinus,"53cm (length), 122cm (wingspan)",NA,,
162,Jaegers,Stercorariidae,Parasitic Jaeger,Stercorarius parasiticus,"48cm (length), 107cm (wingspan)",NA,,
166,Jaegers,Stercorariidae,Long-tailed Jaeger,Stercorarius longicaudus,"56cm (length), 102cm (wingspan)",NA,,
166,Alcids,Alcidae,Dovekie,Alle alle,20cm,"Largely silent, except on breeding grounds where quite vocal, most common call is a rising and falling trill, lasting one to three seconds, which can be given from the ground in flight.",,
168,Alcids,Alcidae,Common Murre,Uria aalge,44cm,"Gives guttural calls on breeding grounds that are deep and of a growling nature, ""aargh"".",,
168,Alcids,Alcidae,Thick-billed Murre,Uria lomvia,46cm,Gives a variety of deep growling calls on breeding grounds.,,
168,Alcids,Alcidae,Razorbill,Alca torda,43cm,"On nesting grounds gives a variety of growls, ""knorrrr"".",,
170,Alcids,Alcidae,Black Guillemot,Cepphus grylle,33cm,High-pitched screaming and whistles on breeding grounds.,,
170,Alcids,Alcidae,Pigeon Guillemot,Cepphus columba,34cm,"Give a variety of very rapid, high-pitched, twittering and whistled calls on breeding grounds.",,
170,Alcids,Alcidae,Cassin's Auklet,Ptychoramphus aleuticus,23cm,"Call, heard only on the breeding grounds, is a harsh, rhythmic croaking, often given from safety of burrow, often in unison.",,
172,Alcids,Alcidae,Long-billed Murrelet,Brachyamphus perdix,29cm,"Poorly known. A thin whistled series of ""fii"" notes has been described.",,
172,Alcids,Alcidae,Marbled Murrelet,Brachyramphus marmoratus,25cm,"Highly vocal at all times of the year; indeed, said to be the most vocal alcid at sea. Call is a series of loud, high ""kree"" notes.",,
172,Alcids,Alcidae,Kittlitz's Murrelet,Brachyramphus brevirostris,24cm,Low groaning and short quacking notes; far less vocal than Marbled.,,
174,Alcids,Alcidae,Ancient Murrelet,Synthliboramphus antiquus,25cm,"Nine different calls have been identified. Call on water is a short ""leep"". Around nest other calls, including a short, emphatic ""chirrup"".",,
174,Alcids,Alcidae,Guadalupe Murrelet,Synthliboramphus hypoleucus,25cm,"Quite unlike Scripps's. Gives a cricketlike rattle, similar to Craveri's.",,
174,Alcids,Alcidae,Scripp's Murrelet,Synthliboramphus scrippsi,25cm,Call is a piping whistle or a series of whistles (heard year-round); quite different from calls of Guadalupe and Craveri's.,,
174,Alcids,Alcidae,Craveri's Murrelet,Synthliboramphus craveri,22cm,"Call, very different from Scripps's (but not unlike Guadalupe), is a cicada-like rattle, rising to a reedy trilling when agitated.",,
176,Alcids,Alcidae,Leas Auklet,Aethia pusilla,16cm,"On breeding grounds, gives buzzy, scratching notes.",,
176,Alcids,Alcidae,Parakeet Auklet,Aethia psittacula,25cm,"Silent except on breeding grounds, when call is a musical trill, rising in pitch.",,
176,Alcids,Alcidae,Whiskered Auklet,Aethia pygmaea,18cm,"On breeding grounds, gives mewing notes.",,
176,Alcids,Alcidae,Crested Auklet,Aethia cristatella,25cm,"On breeding grounds, gives loud, doglike barking calls.",,
178,Alcids,Alcidae,Rhinoceros Auklet,Cerorhinca monocerata,35cm,"On breeding grounds, gives a series of mooing notes.",,
178,Alcids,Alcidae,Atlantic Puffin,Fratercula arctica,35cm,"On breeding grounds, gives rising and falling growling notes.",,
178,Alcids,Alcidae,Horned Puffin,Fratercula corniculata,38cm,"Similar to Atlantic Puffing, given on breeding grounds.",,
178,Alcids,Alcidae,Tufted Puffin,Fratercua cirrhata,40cm,Various low grumbling notes given in breeding colonies.,,
180,Gulls,Laridae,Black-legged Kittiwake,Rissa tridactyla,"43cm (length), 91cm (wingspan)","A repeated ""kittiwake""; also a nasal ""awk"". Calls mostly May to Aug.",,
180,Gulls,Laridae,Red-legged Kittiwake,Rissa brevirostris,"38cm (length), 84cm (wingspan)",Call is higher pitched and squeakier than Black-legged.,,
180,Gulls,Laridae,Sabine's Gull,Xema sabini,"34cm (length), 84cm (wingspan)","Call s a ternlike ""kiew"", heard mainly on breeding grounds.",,
180,Gulls,Laridae,Ivory Gull,Pagophila eburnea,"43cm (length), 94cm (wingspan)","Call is a ternlike ""kew"", heard mainly on breeding grounds.",,
182,Gulls,Laridae,Little Gull,Hydrocoloeus minutus,"28cm (length), 61cm (wingspan)",Occasional nasal and ternlike calls. Gives rapid loud and evenly spaced notes in flight display on breeding grounds.,,
182,Gulls,Laridae,Bonaparte's Gull,Chroicocephalus philadelphia,"34cm (length), 84cm (wingspan)","Call is a nasal or raspy ternlike ""kerrr"" or ""gerrr"".",,
182,Gulls,Laridae,Black-headed Gull,Chroicocephalus ridibundus,"41cm (ength), 102cm (wingspan)","Calls are ternlike, a grating or screechy  ""ree-ah"".",,
184,Gulls,Laridae,Ross's Gull,Rhodostethia rosea,"34cm (length), 84cm (wingspan)","Mostly silent away from Arctic breeding grounds, where it gives ternlike chitters and a mellow yapping.",,
184,Gulls,Laridae,Franklin's Gull,Leucophaeus pipixcan,"37cm (length), 91cm (wingspan)","Call is like Laughing Gull, but slightly higher and softer.",,
184,Gulls,Laridae,Laughing Gull,Leucophaeus atricilla,"42cm (length), 102cm (wingspan)","Calls include crowing series of ""hah"" notes; also single ""kow"" or ""ka-ha"".",,
186,Gulls,Laridae,Heermann's Gull,Larus heermanni,"48cm (length), 130cm (wingspan)",Calls include distinctive low nasal notes that are very different sounding from our other gulls.,,
186,Gulls,Laridae,Black-tailed Gull,Larus crassirostris,"47cm (length), 120cm (wingspan)",NA,,
186,Gulls,Laridae,Belcher's Gull,Larus belcheri,"51cm (length), 124cm (wingspan)",NA,,
188,Gulls,Laridae,Mew Gull,Larus canus,"41-52cm (length), 109-125cm (wingspan)","Calls of brachyrhynchus include a wheezy ""kyap"" and a mewing ""kii-uu"".",,
190,Gulls,Laridae,Ring-billed Gull,Larus delawarensis,"44cm (length), 122cm (wingspan)","Calls include a mewing ""kee-ew"", a sharper ""kyow"", and a whining ""sseeaa"". Also has an extended 'long call'.",,
190,Gulls,Laridae,California Gull,Larus californicus,"54cm (length), 137cm (wingspan)","Calls include a ""kyow"" and a higher ""kii-ow""; als a long, slightly nasal trumpeting 'long call.' All calls are lower pitched than the Ring-billed.",,
192,Gulls,Laridae,Herring Gull,Larus argentatus,"64cm (length), 147cm (wingspan)","For smithsonianus, a series of buglelike calls makes up 'long calls'. Also a full ""kyow"".",,
192,Gulls,Laridae,Yello-legged Gull,Larus michahellis,"61cm (length), 145cm (wingspan)","Like smithsonianus Herring, but slightly deeper.",,
194,Gulls,Laridae,Icelad Gull,Larus glaucoides,"56cm (length), 137cm (wingspan)",Mostly silent in nonbreeding season; otherwise calls close to Herring.,,
194,Gulls,Laridae,Thayer's Guller,Larus thayeri,"58cm (length), 140cm (wingspan)",Calls similar to Herring and Iceland Gulls.,,
196,Gulls,Laridae,Glaucous Gull,Larus hyperboreus,"69cm (length), 152cm (wingspan)",Similar to Herring Gull; some calls actually higher pitched.,,
196,Gulls,Laridae,Glaucous-winged Gull,Larus glaucescens,"66cm (length), 147cm (wingspan)",Similar to Western Gull; 'long call' possibly higher pitched.,,
196,Gulls,Laridae,Western Gull,Larus occidentalis,"64cm (length), 147cm (wingspan)","A wide variety of calls, some like Herring Gull, some lower.",,
198,Gulls,Laridae,Yellow-footed Gull,Larus livens,"69cm (length), 152cm (wingspan)",Call distinctly lower pitched than Western.,,
198,Gulls,Laridae,Slaty-backed Gull,Larus schistisagus,"64cm (length), 147cm (wingspan)",Similar to Glaucous-winged.,,
198,Gulls,Laridae,Kelp Gull,Larus dominicanus,"58cm (length), 135cm (wingspan)",NA,,
200,Gulls,Laridae,Lesser Black-backed Gull,Larus fuscus,"53cm (length), 137cm (wingspan)",Like Herring Gull but slightly deeper.,,
200,Gulls,Laridae,Great Black-backed Gull,Larus marinus,"76cm (length), 165cm (wingspan)","Calls, such as ""kyow"", are deep and horse. 'Long call' is lower pitched and slower than Herring Gull.",,
204,Terns,Laridae,Brown Noddy,Anous stolidus,"39cm (length), 81cm (wingspan)","Usually silent; crowlike ""karrk"" call heard around breeding areas.",,
204,Terns,Laridae,Black Noddy,Anous minutus,"34cm (length), 76cm (wingspan)",NA,,
204,Terns,Laridae,Bridled Tern,Onychoprion anathetus,"38cm (length), 76cm (wingspan)","Typical call is a soft nasal ""weep"".",,
204,Terns,Laridae,Sooty Tern,Onychoprion fuscatus,"41cm (length), 81cm (wingspan)","Typical call is a high, nasal ""wacky-wack"". Also a nasal ""ipp"".",,
204,Terns,Laridae,Aleutian Tern,Onychoprion aleuticus,"34cm (length), 74cm (wingspan)","Call is a squeaky ""twee-ee-ee"", unlike any other tern.",,
206,Terns,Laridae,Least Tern,Sternula antillarum,"23cm (length), 51cm (wingspan)","Calls include high-pitched ""kip"" notes and a harsh ""chir-ee-eep"".",,
206,Terns,Laridae,Black Tern,Chlidonias niger,"25cm (length), 61cm (wingspan)","Calls include a metallic ""kik"" and a slurred ""k-seek"".",,
206,Terns,Laridae,White-winged Tern,Chlidonias leucopterus,"24cm (length), 58cm (wingspan)",NA,,
208,Terns,Laridae,Common Tern,Sterna hirundo,"37cm (length), 76cm (wingspan)","Calls are a sharp ""kip"" and a distinctive low, piercing, drawn-out ""kee-a-r-r-r"".",,
208,Terns,Laridae,Arctic Tern,Sterna paradisaea,"39cm (length), 79cm (wingspan)","Call, a raspy ""tr-tee-ar"", higher than Common; also a sharp ""keet"".",,
208,Terns,Laridae,Forster's Tern,Sterna forsteri,"37cm (length), 79cm (wingspan)","Calls include a hoarse ""kyarr"", lower than Common; also a higher ""ket"".",,
210,Terns,Laridae,Roseate Tern,Sterna dougallii,"39cm (length), 74cm (wingspan)","Call is a soft ""chi-weep"" or ""ki-vit""; alarm signal a drawn-out ""zra-ap"" like ripping cloth.",,
210,Terns,Laridae,Gull-billed Tern,Gelochelidon nilotica,"36cm (length), 86cm (wingspan)","Adult call is a raspy, sharp ""kay-wack""; call of juvenile is a faint high-pitched ""peep peep"".",,
210,Terns,Laridae,Large-billed Tern,Phaetusa simplex,"37cm (length), 91cm (wingspan)",NA,,
210,Terns,Laridae,Sandwich Tern,Thalasseus sandvicensis,"38cm (length), 86cm (wingspan)","Calls include abrupt ""gwit gwit"" and ""skee-rick"" notes, like Elegant.",,
212,Terns,Laridae,Elegant Tern,Thalasseus elegans,"L 43cm,WS 86cm","Sharp ""kee-rick""call very similar to Sandwich Tern.",,
212,Terns,Laridae,Royal Tern,Thalasseus maximus,"L 51cm, WS 104cm","Calls include a bleating ""kee-rer"" and ploverlike whistled ""tourreee"".",,
212,Terns,Laridae,Caspian Tern,Hydroprogne caspia,"L 53cm, WS 127cm","Adult's calls include a harsh, raspy ""kowk"" and ""ca-arr""; immature's a distinctive, whistled ""whee-you"".",,
212,Terns,Laridae,Black Skimmer,Rynchops niger,"L 46cm, WS 112cm","Typical call is a nasal ""ip"" or ""yep"".",,
214,Tropicbirds,Phaethontidae,White-tailed Tropicbird,Phaethon lepturus,"L 76cm, WS 94cm",NA,,
214,Tropicbirds,Phaethontidae,Red-billed Tropicbird,Phaethon aethereus,"L 102cm, WS 112cm",NA,,
214,Tropicbirds,Phaethontidae,Red-tailed Tropicbird,Phaethon rubricauda,"L 94cm, WS 112cm",NA,,
216,Loons,Gaviidae,Red-throated Loon,Gavia stellata,64cm,"Flight call, heard on breeding grounds, is a rapid, gooselike ""kak-kak-kak"".",,
216,Loons,Gaviidae,Pacific Loon,Gavia pacifica,66cm,"On breeding grounds, gives various yodeling calls.",,
216,Loons,Gaviidae,Arctic Loon,Gavia arctica,71cm,"On breeding grounds, yodeling calls are deeper than Pacific.",,
218,Loons,Gaviidae,Common Loon,Gavia immer,81cm,"Loud yodeling calls delivered on water and in flight are heard all year, but most often on breeding grounds when often heard at night.",,
218,Loons,Gaviidae,Yellow-billed Loon,Gavia adamsii,86cm,Calls are similar to Common.,,
220,Albatrosses,Diomedeidae,Short-tailed Albatross,Phoebastria albatrus,"L 79-89cm, WS 221-239cm",NA,,
220,Albatrosses,Diomedeidae,Laysan Albatross,Phoebastria immutabilis,"L 71-79cm, WS 196-216cm",NA,,
220,Albatrosses,Diomedeidae,Black-footed Albatross,Phoebastria nigripes,"L 71-81cm, WS 201-221cm",NA,,
222,Albatrosses,Diomedeidae,White-capped Albatross,Thalassarche cauta,"L 86-99cm, 229-264cm",NA,,
222,Albatrosses,Diomedeidae,Salvin's Albatross,Thalassarche salvini,"L 89-97cm, WS 236-257cm",NA,,
222,Albatrosses,Diomedeidae,Chatham Albatross,Thalassarche eremita,"L 86-97cm, 231-251cm",NA,,
222,Albatrosses,Diomedeidae,Yellow-nosed Albatross,Thalassarche chlororhynchos,"L 71-76cm, WS 74-85",NA,,
222,Albatrosses,Diomedeidae,Black-browed Albatross,Thalassarche melanophris,"L 79-86cm, WS 206-231cm",NA,,
224,Fulmar,Procellariidae,Northern Fulmar,Fulmarus glacialis,"L 41-46cm, WS 94-114cm",NA,,
224,Petrel,Procellariidae,White-chinned Petrel,Procellaria aequioctialis,"L 51-58cm, WS 132-145cm",NA,,
224,Petrel,Procellariidae,Parkinson's Petrel,Procellaria parkinsoni,"L 41-43cm, WS 114-124cm",NA,,
226,Petrel,Procellariidae,Bulwer's Petrel,Bulweria bulwerii,"L 28-30cm, WS 64-69m",NA,,
226,Petrel,Procellariidae,Jouanin's Petrel,Bulweria fallax,"33-36cm, 76-79cm",NA,,
226,Petrel,Procellariidae,Great-winged Petrel,Pterodroma macroptera,"43-46cm, 99-107cm",NA,,
226,Petrel,Procellariidae,Murphy's Petrel,Pterodroma ultima,"36-38cm, 89-97cm",NA,,
226,Petrel,Procellariidae,Providence Petrel,Pterodroma solandri,"43-46cm, 99-107cm",NA,,
228,Petrel,Procellariidae,Hawaiian Petrel,Pterodroma sandwichensis,"38-41cm, 97-104cm",NA,,
228,Petrel,Procellariidae,Mottled Petrel,Pterodroma inexpectata,"33-36cm, 84-91cm",NA,,
228,Petrel,Procellariidae,Cook's Petrel,Pterodroma cookii,"30-33cm, 76-81cm",NA,,
228,Petrel,Procellariidae,Stejneger's Petrel,Pterodroa longirostris,"30-33cm, 71-76cm",NA,,
230,Petrel,Procellariidae,Fea's Petrel,Pterodroma feae,"36-38cm, 86-97cm",NA,,
230,Petrel,Procellariidae,Zino's Petrel,Pterodroma madeira,"33-36cm, 84-89cm",NA,,
230,Petrel,Procellariidae,Bermuda Petrel,Pterodroma cahow,"36-38cm, 86-91cm",NA,,
230,Petrel,Procellariidae,Black-capped Petrel,Pterodroma hasitata,"38-46cm, 99-104cm",NA,,
232,Petrel,Procellariidae,Trindade Petrel,Pterodroma arminjoniana,"39cm, 95cm",NA,,
232,Shearwater,Procellariidae,Cory's Shearwater,Calonectris diomeda,"46cm, 117cm",NA,,
232,Shearwater,Procellariidae,Cape Verde Shearwater,Calonectris edwardsii,"39cm, 100cm",NA,,
232,Shearwater,Procellariidae,Great Shearwater,Ardenna gravis,"46cm, 112cm",NA,,
234,Shearwater,Procellariidae,Flesh-footed Shearwater,Ardena carneipes,"43cm, 104cm",NA,,
234,Shearwater,Procellariidae,Short-tailed Shearwater,Ardenna tenuirostris,"43cm, 99cm",NA,,
234,Shearwater,Procellariidae,Sooty Shearwater,Ardena grisea,"46cm, 102cm",NA,,
236,Shearwater,Procellariidae,Wedge-tailed Shearwater,Ardenna pacifica,"46cm, 102cm",NA,,
236,Shearwater,Procellariidae,Streaked Shearwater,Calonectris leucomelas,"48cm, 122cm",NA,,
236,Shearwater,Procellariidae,Pink-footed Shearwater,Ardenna creatopus,"48cm, 109cm",NA,,
236,Shearwater,Procellariidae,Buller's Shearwater,Ardenna bulleri,"41cm, 102cm",NA,,
238,Shearwater,Procellariidae,Manx Shearwater,Puffinus puffinus,"34cm, 84cm",NA,,
238,Shearwater,Procellariidae,Black-vented Shearwater,Puffinus opsthomelas,"36cm, 86cm",NA,,
238,Shearwater,Procellariidae,Audubon's Shearwater,Puffinus Iherminieri,"30cm, 69cm",NA,,
238,Shearwater,Procellariidae,Barolo Shearwater,Puffinus baroli,"28cm, 64cm",NA,,
240,Storm-Petrels,Procellariidae,White-faced Storm-Petrel,Pelagodroma marina,"19cm, 43cm",NA,,
240,Storm-Petrels,Procellariidae,European Storm-Petrel,Hydrobates pelagicus,"14-17cm, 38cm",NA,,
240,Storm-Petrels,Procellariidae,Wilson's Storm-Petrel,Oceanites oceanicus,"18cm, 41cm",NA,,
242,Storm-Petrels,Procellariidae,Band-rumped Storm-Petrel,Oceanodroma castro,"23cm, 43cm",NA,,
242,Storm-Petrels,Procellariidae,Leach's Storm-Petrel,Oceanodroma leucorhoa,"18-20cm, 43-48cm",NA,,
242,Storm-Petrels,Procellariidae,Townsend's Storm-Petrel,Oceanodroma socorroensis,"15-18cm, 41-46cm",NA,,
242,Storm-Petrels,Procellariidae,Wedge-rumped Storm-Petrel,Oceanodroma tethys,"15cm, 34cm",NA,,
244,Storm-Petrels,Procellariidae,Fork-tailed Storm-Petrel,Oceanodroma furcata,"22cm, 46cm",NA,,
244,Storm-Petrels,Procellariidae,Least Storm-Petrel,Oceanodroma microsoma,"15cm, 38cm",NA,,
244,Storm-Petrels,Procellariidae,Black Storm-Petrel,Oceanodroma melania,"23cm, 48cm",NA,,
244,Storm-Petrels,Procellariidae,Ashy Storm-Petrel,Oceanodroma homochroa,"20cm, 43cm",NA,,
246,Storks,Ciconiidae,Wood Stork,Mycteria americana,"102cm, 155cm",Mostly silent; some bill clacking at nest site.,,
