Page,EnglishCommon,LatinSpecies,Length,Voice,Comment
63,Turtle Dove,Streptopelia turtur,28,"Cat-like purring, ""rooorrr rooorrr""",
63,Collared Dove,Streptopelia decaocto,30,"Rhythmic three-part cooing, ""coo-COO-coo""",
64,Barn Owl,Tyto alba,34,Eerie shrieks - sometimes they are known as 'screech owls',
64,Tawny Owl,Strix aluco,38,"Long three-part ""hoo-hoo-hoo""; females call ""ker-wick""",
65,Little Owl,Athene noctua,34,"Musical, rising ""kiew kiew kiew""",
65,Short-eared Owl,Asio flammeus,37,"Deep ""boo-boo-boo"", but usually silent",
65,Long-eared Owl,Asio otus,34,"Low, moaning ""ooo-ooo-oo""",
66,Green Woodpecker,Picus viridis,32,"Loud laughing ""gluck-gluck-gluck""",
66,Great Spotted Woodpecker,Dendrocopos major,23,"Loud ""tchick-tchick"" call",
67,Kingfisher,Alcedo atthis,17,"Sharp, shrill ""cheee""",
67,Nightjar,Caprimulgus europaeus,27,"Vibrant ""cooo-ick"" in flight; also a purring song sometimes for up to 5 minutes without a break",
67,Cuckoo,Cuculus canorus,30,"Loud ""cuc-koo"" in spring; also laughing ""kow-kow-kow"" if alarmed",
68,Swift,Apus apus,17,"Loud screaming ""screeee"", often in groups",
68,Swallow,Hirundo rustica,19,"Light ""tswit-tswit"" call; long twittering song",
69,House Martin,Delichon urbica,13,"""Chirrup"" call; soft twittering song",
69,Sand Martin,Riparia riparia,12,"Low ""chirrup"" call; soft twittering song",
70,Dunnock,Prunella modularis,14,"Loud, high ""tseep"" call; fast warbling song",
70,Skylark,Alanda arvensis,18,"Loud ""chirrup"" call; warbling song",
71,Meadow Pipit,Anthus pratensis,14,"Weak ""peep-peep-peep"" call; high-pitched song",
71,Rock Pipit,Anthus petrosus,17,"Whistling ""pseep"" call; song like meadow pipit but fuller",
72,Pied Wagtail,Motacilla alba,18,"Sharp ""tissik"" flight call; simple warbling song",
72,Yellow Wagtail,Motacilla flava,17,"Loud ""twseep"" call; simple warbling song",
72,Grey Wagtail,Motacilla cinerea,18,"Sharp, piercing ""tsickick"" call; twittering song with whistles",
73,Dipper,Cinclus cinclus,18,"Sharp ""zit zit"" call; soft warbling song",
73,Waxwing,Bombycilla garrulus,17,"High ""sirrrrrrr""",
73,Wren,Troglodytes troglodytes,9.5,"Hard ""tik tik"" call; loud rattling song usually ending in a trill",
74,Stonechat,Saxicola torquata,13,"""Wee-tak-tak"" call, like stones struck together; short, quivering song",
74,Wheatear,Oenanthe oenanthe,15,"""Wee-tak-tak"" call like a stonechat; warbling song",
75,Robin,Erithacus rubecula,14,"Rapid ""tic tic"" call; warbling, melancholy song - sometimes at night",
75,Redstart,Phoenicurus phoenicurus,14,"""Wheeet"" note like a willow warbler; hurried jingle song",
76,Spotted Flycatcher,Muscicapa striata,14,"Short, unmusical ""zeee"" call; scratchy weak song",
76,Pied Flycatcher,Ficedula hypoleuca,13,"Sharp ""huit"" call; short, simple ""tzit zit trui trui"" song",
77,Blackbird,Turdus merula,25,"Low ""tchook-tchook"" call; rich, flute-like, melodic song",
77,Fieldfare,Turdus pilaris,25,"Loud ""chak-chak-chak"" call; song is various squeaks and whistles",
78,Song Thrush,Turdus philomelos,23,"Soft ""tsip"" call; loud, tuneful song with repeated phrases",
78,Redwing,Turdus iliacus,21,"Soft ""seeep"" call; falling whistling song",
78,Mistle Thrush,Turdus viscivorus,27,"Loud rattling ""tsarrk""; flute-like song like a blackbird",
79,Starling,Sturnus vulgaris,22,"Complicated song with rattles, gurgles and whistles",
79,Sedge Warbler,Acrocephalus schoenobaenus,13,"Dry ""chirr chirr"" call; chattering song with sweet notes and chirrups",
79,Reed Warbler,Acrocephalus scirpaceus,13,"Sharp ""chrrr"" call; chattering song - less lively than a sedge warbler's",
80,Blackcap,Sylvia atricapilla,14,"Harsh ""tak"" call; loud warbling song",
80,Whitethroat,Sylvia communis,14,"Harsh ""tak tak"" call; short, scratchy song",
80,Willow Warbler,Phylloscopus trochilus,11,"Soft, repeated ""hoo-eet"" call; soft song ending with a flourish",
81,Chiffchaff,Phylloscopus collybita,11,"""Hweet"" call; repetitive ""chiff-chaff chiff-chaff"" song",
81,Wood Warbler,Phylloscopus sibilatrix,13,"Loud ""sweet"" calls; low ""sioo sioo sioo"" or fast ""ti-ti-ti-ti-ikirrrrr"" song",
81,Whinchat,Saxicola rubetra,13,"Hard ""tic-tic tuc-tic tic"" call; robin-like song",
82,Goldcrest,Regulus regulus,9,"High-pitched ""zee-zee"" call; high-pitched song",
82,Nuthatch,Sitta europaea,14,"Loud piping ""tuit tuituit"" call; whistling song",
82,Treecreeper,Certhia familiaris,13,"High-pitched ""tsit"" call; song is a falling series of notes",
83,Long-tailed Tit,Aegithalos caudatus,14,"High-pitched ""zee-zee"" call with hissing ""trrrr"" trills",
83,Coal Tit,Parus ater,11,"High ""tsee"" call; bright two-part ""see-too, see-too"" song",
84,Blue Tit,Parus caeruleus,11,"Thin, rising ""see ssee"" call; high trilling song",
84,Great Tit,Parus major,14,"""Chink"" call; lots of different songs, including *tea-cher tea-cher*",
85,Marsh Tit,Parus palustris,12,"Shrill ""pitchu"" call; repeated ""chip chip chip"" song",
85,Jay,Garrulus glandarius,32,"Loud ""skark skark"" and loud screech",
86,Magpie,Pica pica,46,"Loud and harsh ""chacka-chacka-chacka""",
86,Carrion Crow,Corvus corone,47,"Loud, deep ""kraa-kraa""",
87,Raven,Corvus corax,64,"Deep ""kronk kronk"" croak",
87,Rook,Corvus frugilegus,46,"Very loud ""cawww""",
88,Jackdaw,Corvus monedula,33,"Short, sharp ""jack jack"", and high-pitched ""kyow""",
88,Crossbill,Loxia curvirostra,16,"Loud ""chip-chip-chip"" calls",
89,House Sparrow,Passer domesticus,15,Simple chirps and chirrups,
89,Tree Sparrow,Passer montanus,14,"Loud, high-pitchd chirruping and cheeping; ""tek tek"" in flight",
90,Reed Bunting,Emberiza schoeniclus,15,"Loud ""tseek"" call; song is repeated chirps",
90,Yellowhammer,Emberiza citrinella,17,"Grating ""zit"" call; song with deep final note ""se-se-se-se-se-se-se-soo""",
91,Chaffinch,Fringilla coelebs,15,"Loud ""chink chink"" call; bright rattling song ending in a flourish",
91,Goldfinch,Carduelis carduelis,12,"Simple ""twit-a-twit"" call; long twittering song like a swallow",
92,Greenfinch,Carduelis chloris,15,"Loud ""chup"" call; wheezy song with whistles and twitters",
92,Siskin,Carduelis spinus,11,"Squeaky ""tzeeu"" call; twittering song",
93,Brambling,Fringilla montifringilla,15,"Deep buzzing ""dzeeee""",
93,Bullfinch,Pyrrhula pyrrhula,15,"Soft ""pee-uu"" call; quiet, creaky song",
93,Linnet,Carduelis cannabina,13,"""Tsooeet"" call; twittering, musical song",
